Aufnahmesigle;Ort;Y;X;Beleg;Auslaut;Verwendung;Kommentar
ZW--_E_00034;Sulzburg;47,84;7,71;gibt es dann, was man da braucht dazu. Und das ist auch ein Grund, warum ;NULL;VV;"unklar; Folgewort beginnt mit d"
ZW--_E_00043;Horben;47,94;7,86;Da da bei den Rossen braucht man halt bei den Rossen halt auch. Wieviel Vieh;NULL;VV;
ZW--_E_00079;Lörrach;47,66;7,57;Aber, wenn man die nicht braucht, ist's selbstverständlich besser der Qualität.;T;VV;
ZW--_E_00123;Owingen;47,81;9,17;einem Senkel und was man so dazu braucht, und die Holzfäller mit der Waldsäge. Werden halt;T;VV;
ZW--_E_00168;Hirrlingen;48,41;8,89;Element, nicht. ( Danach) braucht man sich nicht so, als Prinz Karneval man muss;NULL;VV? ;elliptischer Satz 
ZW--_E_00188;Rosenfeld;48,29;8,72;"heute Mittag um zwölf, also vorher braucht gar keiner kommen. "" Also gut, jetzt geht";NULL;MV;unklar 
ZW--_E_00214;Heimsheim;48,81;8,86;kein Säsack mehr auf die Achsel nehmen braucht. ( Danach) fährt man mit der S-;T;MV;
ZW--_E_00229;Stuttgart;48,78;9,18;dann das herauf, was man gerade braucht. Und sonst ist eigentlich nichts mehr in der Registratur;T;VV;
ZW--_E_00244;Laichingen;48,49;9,69;ich auch noch helfen abladen, da braucht man alleweil viel.;NULL;VV;
ZW--_E_00337;Leutkirch im Allgäu;47,83;10,02;Und Frucht, was man so selber braucht und Kartoffeln und Kohlrabi, nicht. Das ist so;T;VV;
ZW--_E_00339;Leutkirch im Allgäu;47,83;10,02;hat jeder noch, was er selber braucht. Aber dennoch, bei uns laufen noch nicht so;T;VV;
ZW--_E_00463;Wehr;47,63;7,9;auf Weihnachten um, da braucht man doch sicher auch viel, .;NULL;VV;"unklar; Stimmengewirr"
ZW--_E_00503;Bad Rippoldsau-Schapbach;48,38;8,29;sehr selten braucht. Leim, das braucht man nicht, also das ist warum, die Arbeiten;T;VV;
ZW--_E_00523;Kehl;48,58;7,81;A, was er braucht, was er kostet.;;VV;"unklar; Stimmengewirr"
ZW--_E_00546;Sasbachwalden;48,62;8,13;soll der Gerichtsvollzieher doch raufgehen, dann braucht er's doch nicht bringen, dann wenn wir's ja holen;T;MV;
ZW--_E_00575;Rastatt;48,95;8,24;daß man Schaufeln braucht zum.;T;VV;
ZW--_E_00594;Niefern-Öschelbronn;48,92;8,78;wird ein großes Menü zusammengestellt und da braucht man natürlich auch allerhand Sachen dazu. ;T;VV;
ZW--_E_00612;Zaisenhausen;49,11;8,82;daß die Krankheit da ist, dann braucht man nicht mehr springen, so wie es zum Beispiel;T;MV;
ZW--_E_00626;Nußloch;49,32;8,69;"gesagt: "" Ich liege schon, braucht nicht mehr rennen, ich liege schon. Ihr Hunde";T;MV;
ZW--_E_00645;Neuried;48,47;7,8;zum beschlagen und so weiter, und braucht die Schmiede auch noch für Sachen. Also Exportbetriebe hat;T;VV;unklar, Folgewort beginnt mit d 
ZW--_E_00653;Tübingen;48,52;9,06;dass das in der Küche das Französische braucht. Das ist für uns eine Verein- , Vereinfachung;T;VV;
ZW--_E_00655;Tübingen;48,52;9,06;Zucker und eben, was man so braucht zum Einmachen. Und das gibt eben gleich einen großen;T;VV;
ZW--_E_00709;Schwäbisch Gmünd;48,8;9,8;Laib Brot, nicht wahr. Man braucht es nicht mitnehmen und es ist.;T;MV;
ZW--_E_00830;Wallhausen;49,21;10,06;Hauptsache, wo wir anbauen. Das braucht man am notwendigsten, nicht. Zum Säuefüttern, und;T;VV;
ZW--_E_00831;Wallhausen;49,21;10,06;Überall kann man nicht mit, da braucht man zu viel Geld. Na.;T;VV;
ZW--_E_00854;Füssen;47,57;10,7;Ja, was braucht man da? Ach, drei Tagwerk bei.;T;VV;unklar
ZW--_E_00883;Buchloe;48,04;10,72;wenig gesehen, in den schweren Böden braucht man überhaupt hat man heuer brauchen gar nichts tun;T;MV?;"Ellipse; er korrigiert sich ""hat man heuer brauchen gar nichts tun"""
ZW--_E_00903;Starnberg;48;11,34;Weil wenn man einen Traktor hat,	braucht man Gummiwagen. Weil das muß man haben, sonst;T;VV;
ZW--_E_00904;Starnberg;48;11,34;habe zu meinen Leuten gesagt, ihr braucht keine Angst zu haben, ich komme wieder, das;T;MV;
ZW--_E_00914;Dießen am Ammersee;47,95;11,1;gefallen, nicht wahr. Und da braucht man doch halt eine Kraft, nicht, braucht man;T;VV;
ZW--_E_00972;Bruckmühl;47,88;11,92;so viel an, was er selber braucht aso zum füttern und für den Eigenbedarf. Es sind;T;VV;
ZW--_E_01153;Karsbach;50,05;9,78;stark ist, daß es keine Stützmauer braucht . Andernfalls, habe ich gesagt, wenn sie Scherereien;T;VV;
ZW--_E_01153;Karsbach;50,05;9,78;habe mir da Kleesamen gekauft, den braucht meine Frau zur Aussaat. Hat er also, Sie;NULL;VV;unklar
ZW--_E_01192;Traunstein;47,87;12,64;kommt ein Dirndl immer sauber daher und braucht nicht fürchten, daß sie einmal ein Gewand anhat,;T;MV;
ZW--_E_01206;Schneizlreuth;47,68;12,8;"Da braucht man eine Säge; man braucht eine Hacke; man braucht einen Keil und braucht einen";T;VV;
ZW--_E_01240;Siegenburg;48,75;11,85;oder für das andere. Der eine braucht einen Arbeiter rückfahrschein und so weiter. Die müssen auch;T;VV;
ZW--_E_01249;Dietfurt;49,03;11,58;Wie lange braucht man?;T;VV;
ZW--_E_01265;Illschwang;49,45;11,68;und zum Schroten braucht man fürs Vieh braucht man wieder Getreide, nicht. Und dann wenn die;NULL;VV;unklar
ZW--_E_01284;Luhe-Wildenau;49,58;12,15;, wegen am Standesamt und der andere braucht das und der ander braucht sell, und das muß;T;VV;
ZW--_E_01289;Neustadt an der Waldnaab;49,78;12,1;nachdem, wie es halt das Roßbraucht, .;T;VV;
ZW--_E_01328;Zeilarn;48,3;12,83;versuchen, wie zu Haus. Man braucht ein wenig Klee, und das läßt sich nicht gut;T;VV;
ZW--_E_01376;Landshut;48,53;12,16;Der braucht viel?;T;VV;
ZW--_E_01615;Neuburg am Rhein;48,99;8,25;die habe ich halt gewußt, die braucht nicht in die Schule. Na, haben wir gesagt;NULL;MV;"elliptisch; soll wahrscheinlich ""braucht nicht in die Schule gehen"" heißen "
ZW--_E_01681;Elmstein;49,35;7,94;darf nicht vergessen, welchen Kräfteverschleiß er braucht. Man kann, den Holzhauer kann man mit einem;T;VV;
ZW--_E_01703;Hornbach;49,19;7,37;Und der Arbeiter ich meine der braucht an und für sich mehr an Lebensmittel als wie ein;NULL;VV;
ZW--_E_02004;Geroda;50,28;9,9;Maurer- in der Heuernte, da braucht keiner einen Maurer, da wollen sie- da braucht;NULL;VV;
ZW--_E_02075;Schönsee;49,52;12,55;Ja, braucht man nicht zu zahlen, die Muster sind blaugedruckte Muster;T;MV;
ZW--_E_02702;Wackernheim;49,97;8,12;bei uns, aber trotzdem, man braucht ihn nicht zu verachten;NULL;MV;
ZW--_E_02896;Castrop-Rauxel;51,55;7,32;für Stück zurückgedrängt. Die Industrie die braucht Betriebe, also Grundflächen nicht wahr, für ihre Zechen;NULL;VV;
ZW--_E_02961;Münster (Westfalen);51,96;7,63;alle schon mit dem Trecker. Da braucht man das Heu gar nicht erst mehr aufzuladen. Es;NULL;MV;unklar
ZW--_E_03014;Kirchhundern;51,1;8,08;ist eine Frau, die, die braucht nötig Hilfe. Da mußte ich so ein altes Mütterchen;T;VV;
ZW--_E_03073;Bad Salzuflen;52,09;8,75;wenn man das dann klarmacht, ihr braucht euren Dreck nicht mehr wegbringen, sondern wir holen ihn;NULL;MV;unklar
ZW--_E_03156;Harsewinkel;51,97;8,23;hat zu meiner Tochter gesagt, sie braucht sich keine Hoffnung machen, daß ich noch mal wieder;T;MV ;eher unklar
ZW--_E_03251;Büdingen;50,29;9,11;Da wird der Binder eingesetzt, da braucht man bloß drumrum zu mähen. Na, und wenn;NULL;MV;
ZW--_E_03357;Ahlerstedt;53,41;9,45;so ein kleines Marmelloch, und dann braucht man mehrere Mann dabei und muß der sehen, daß;NULL;VV;
ZW--_E_03721;Moers;51,46;6,62;"frage ich ihn: "" Wieviel Urkunden braucht Ihr denn?"" "" Och,"" sagt er, """;NULL;VV;
ZW--_E_03890;Wiefelstede;53,26;8,12;bei dem Sensenmähen noch immer zwei Mann braucht. Einen, der das mit der Harke- der;NULL;VV;
ZW--_E_04256;Nidderau;50,25;8,9;die Sachen zusammengeholt, was man so braucht: Salz und Pfeffer, und die Wurstkordel und was;;VV;"Audio beginnt erst ab ""Wurstkordel"" "
ZW--_E_04260;Nidderau;50,25;8,9;so werden da gemacht, wo man braucht für die Kühlschränke. Und die großen Maschinen. Da;NULL;VV;
ZW--_E_04320;Grünberg;50,6;8,95;sie säen. Ja, und so braucht man ja das soviel mit dem Garten auch nicht mehr;NULL;VV;unklar
ZW--_E_04320;Grünberg;50,6;8,95;Jahres was man so für den Haushalt braucht, für die Küche. Und dann ist ja die;T;VV;
ZW--_E_04365;Neu Darchau;53,23;10,88;Ach, zu jeder verschiedenen Arbeit braucht man doch ein verschiedenes Messer. Zum Stechen extra ein;T;VV;
ZW--_E_04408;Ziethen;53,7;10,82;"Ihr kriegt genug zu essen, ihr braucht euch nichts mitzubringen."" Dann sind wir auch manchmal";T;MV;
ZW--_E_04436;Kayhude;53,77;10,13;Sie braucht nicht gepreßt werden, aber das ist, besser,;NULL;MV;
ZW--_E_04477;Rösrath;50,9;7,18;st ja auch heute so, man braucht nicht mehr zu Ang äh Angst und Bange zu haben;;MV;Audio beginnt an einer anderen Stelle 
ZW--_E_04552;Drochtersen;53,7;9,38;ist ja eigentlich nicht schwer. Da braucht man ja bloß die Formulare auszufüllen. Da steht ja;;MV;unklar 
ZW--_E_04613;Rehborn;49,73;7,69;Wingert, die nicht gepflegt sind, braucht man bereits nicht hinauszugehen. So ist.;NULL;MV;
ZW--_E_04785;Filsum;53,23;7,63;Maschinen einstellen, um Personal, dann braucht das nicht, aber augenblicklich muß man sehen, wie;NULL;VV;unklar, ob er [bruk] oder [brukt] sagt 
ZW--_E_04905;Nordendorf;48,6;10,83;im Oberland, nicht wahr, da braucht man einen Pickus, nicht, zum Most. Da;T;VV;
ZW--_E_04919;Lauringen (Donau);48,57;10,43; Zuckerrüben- Also, mit Handarbeit braucht man praktisch gar nichts mehr tun. Man braucht sie;T;MV;
ZW--_E_04928;Dürrlauingen;48,47;10,43;am morgens heißt es, die Kompanie braucht 80 Mann #k. v. # ins Feld.;T;VV;
ZW--_E_04965;Mickhausen;48,25;10,62;""" hat er gesagt, "" das braucht seine Zeit. Ich muss allemal auch wegbrechen von der";T;VV;
ZW--_E_05030;Schiltach;48,29;8,34;danach) weg. ( Danach) braucht man heute das nicht mehr, wie.;NULL;VV;
ZW--_E_05031;Lauterbach;48,23;8,34;ist in- und hat- Man braucht ja überhaupt kein Holz mehr zum Wohnhaus. Ja.;T;VV;
ZW--_E_05088;Modautal;49,77;8,72;machen viel Arbeit die Käse. Heut braucht man ja keinen mehr machen. Es gibt keine Milch;NULL;MV;
ZW--_E_05108;Höchst im Odenwald;49,8;8,99;wo man heute alles nicht mehr braucht. Ja und da haben wir uns ein bißchen eingestellt;NULL;VV;
ZW--_E_05188;Neuharlingersiel;53,7;7,7;Wintertag, nicht, dann, dann braucht da bloß ein bißchen Wind sein, dann ist es;;MV;unklar, ob er [bruk] oder [brukt] sagt 
ZW--_E_05417;Langeoog;53,75;7,48;in der Woche seinen Wasserturm bloß vollpumpen braucht, äh, dann reichte das für eine ganze Woche;NULL;MV;
ZW--_E_05432;Bartholomä;48,75;9,99;Frucht rechne und die Arbeit dahinter, braucht auch Arbeit, muss auch nachlaufen, nicht. Aber;T;VV;
ZW--_E_05450;Munningen;48,92;10,58;wieder so bliebe, und es braucht nicht besser werden, ( danach) wäre es auch;NULL;MV;
ZW--_E_05452;Munningen;48,92;10,58;der Landwirtschaft und im Haushalt. Man braucht ja so viel Wasser. Und da käme man mit;T;VV;
ZW--_E_05454;Dornstadt;49;10,58;, ganz wenig. Was man selber braucht, der, früher, der Roggenbau geht ja auch;T;VV;
ZW--_E_05454;Dornstadt;49;10,58;viel mehr. Mehr wie das Doppelte	braucht man heute Wasser wie früher. Viel mehr. Das;NULL;VV;
ZW--_E_05469;Alerheim;48,85;10,62;mehr Säue, und( danach) braucht man sein Treid selber, und das andere muss man;NULL;VV;"im Folgesatz kommt noch ein ""braucht"" vor, bei dem ein deutliches t gesprochen wird"
ZW--_E_05485;Gundelsheim;49,28;9,16;das muss einfach so sein. Es braucht nicht ein Bauerntapp zu sein, dass man ihm schon;;MV;undeutlich 
ZW--_E_05492;Weinsberg;49,15;9,29;Weil da braucht man gar nicht viel tun, bloß den anderen sagen;NULL;MV;
ZW--_E_05495;Kupferzell;49,23;9,68;eit, daß man das nicht mehr braucht, nicht. Das ist eine ganz andere.;T;VV;
ZW--_E_05503;Schöntal;49,35;9,52;ist immer da, wenn man Geld braucht. Und was vom Handwerk kommt, oder von Landwirtschaft;T;VV;
ZW--_E_05519;Sachsenheim;48,96;9,06; was man, was man eben braucht da dazu dem, Flaschen, nicht, in Flaschen;T;VV;"undeutlich; Folgewort mit d"
ZW--_E_05520;Sachsenheim;48,96;9,06;Ruten, wo man fürs nächste Jahr braucht zum Hinausbiegen, werden da.;T;VV;
ZW--_E_05675;Enger;52,13;8,57;, und in der Scheune? Da braucht ihr nichts zu machen! Aber außen ein Gerüst!;T;MV;
ZW--_E_05711;Hiddenhausen;52,17;8,62;andere das auch, ja. Man braucht nur an die Felds in die Rollkammer zu denken,;T;MV;es spricht gleichzeitig ein zweiter Sprecher, deshalb undeutlich
ZW--_E_05730;Hiddenhausen;52,17;8,62;der Schwester gesagt: Ja, darum braucht man doch nicht zu schimpfen. Wenn keiner mehr was;NULL;MV;
ZW--_E_05751;Löhne;52,2;8,7;jetzt ja auch noch, aber es braucht auch keiner vor der Luke sein und, auf dem;T;MV;
ZW--_E_05790;Rödinghausen;52,26;8,48;die Maschinen, die man zur Spezialisierung braucht, lohnen sich für uns nicht als Kleinbetrieb, nicht;T;VV;
ZW--_E_05790;Rödinghausen;52,26;8,48;zu Runkeln und Kartoffeln düngen, da braucht meine Frau heutzutage nicht mehr zu tun, als dass;;MV;Sprachbeispiel von einer ganz anderen Stelle 
;;;;;;;
;;;;;;;
ZW--_E_00028;Staufen im Breisgau;47,88;7,73;acht oder neun Orten holen. Das braucht man nicht nur bei der Gotti und beim Götti holen;;MV;"sagt ""das darf man nicht…"" "
ZW--_E_00053;Hüfingen ;47,93;8,49;er auf, s'ist genug, man braucht nicht strecken, ein' volle Blüt' und tragen fest,;T;MV;
ZW--_E_00053;Hüfingen ;47,93;8,49;Ich will mir's mal überlegen, aber, es braucht schon seine Zeit.;NULL;VV;
ZW--_E_00053;Hüfingen ;47,93;8,49;"Eggedli"" ausverkauft ist und ausverschenkt, braucht man auch fast eine Neuauflage, .";;VV;
ZW--_E_00076;Schonach im Schwarzwald ;48,18;8,2;Esel einmal einen Schenkel ab hat, braucht er keine Angst haben, da nehmen die Buben ihr;NULL;MV;
ZW--_E_00083;Maulburg;47,64;7,78;daß es überhaupt so viele Leute braucht, aber das ist halt heute nicht anders- hauptsächlich;T;VV;
ZW--_E_00131;Frickingen;47,82;9,27;Ganzen auch im Kreis, man braucht halt so viel Geld.;T;VV;
ZW--_E_00141;Hohenfels;47,89;9,11;schön angucken will, ( danach) braucht man nicht in( den) Schwarzwald. Man braucht;T;VV;
ZW--_E_00141;Hohenfels;47,89;9,11;Man braucht nicht einmal in die- in die Alpen. ;T;VV;
ZW--_E_00165;Hirrlingen;48,41;8,89;Maschinen laufen, nicht, und da braucht man allerhand Material und das können wir noch nicht verkraften;NULL;VV;
ZW--_E_00165;Hirrlingen;48,41;8,89;komplizierte Arbeit ist, nicht, da braucht man einen Haufen Spezialmaschinen,;NULL;VV;
ZW--_E_00166;Hirrlingen;48,41;8,89;mehr Steinhauer werden. Nun, man braucht sie ja nicht mehr so viel, ( die);T;VV;
ZW--_E_00174;Bondorf;48,52;8,83;hat man so zwei, drei Tage braucht vielmals. Und( danach) an die sind sie;T;VV;
ZW--_E_00187;Rosenfeld;48,29;8,72;"du zu ungeschickt sein dazu, da braucht man geschickte Leute. "" Ha, ich habe mir";T;VV;
ZW--_E_00188;Rosenfeld;48,29;8,72;"ich gesagt: "" PERSONENNAME, da braucht ihr euch gar nicht genieren. Wir sind auch einmal";T;MV;
ZW--_E_00205;Neubulach;48,66;8,7;Handgriffe und so weiter, was man braucht zum Hobeln oder, äh, mit dem Hammer schaffen;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_00210;Calw;48,71;8,74;"sehen. Wenn der den sieht, braucht er bloß schreien: "" Johann! """;NULL;MV;
ZW--_E_00211;Calw;48,71;8,74;zur Herstellung von Stanzteilen und so weiter braucht, selber konstruieren und dann mit meinen Leuten bauen.;T;VV;
ZW--_E_00221;Stuttgart;48,78;9,18;Ein jeder Kunstdungsack habe ich einen Bezugschein braucht. Da drüben bei dem Karl Wille, da hat;T;VV;
ZW--_E_00222;Stuttgart;48,78;9,18;es modernisieren im Weinbau! Aber das braucht noch eine Weile! Denn die Bewirtschaftungsweise heute mit den;T;VV;
ZW--_E_00222;Stuttgart;48,78;9,18;das Risiko zu groß. Und man braucht ja etwa im Remstal und im Neckartal unten, Heilbronn;T;VV;
ZW--_E_00278;Emerkingen;48,21;9,66;die wächst jetzt ja so, da braucht man nichts mehr machen.;NULL;MV;
ZW--_E_00284;Biberach an der Riß;48,1;9,79;Sach, anpflanzen, was man sonst braucht. Mein Gemüse und alles das. ( Danach);T;VV;
ZW--_E_00320;Lindau (Bodensee) ;47,55;9,66;was man hauptsächlich für den eigenen Bedarf braucht. Hm. Und-;T;VV;
ZW--_E_00328;Isny im Allgäu;47,69;10,04;Kühe oder, wenn man das nicht braucht, wenn man austreibt, wenn man das Vieh hinauslässt;T;VV;
ZW--_E_00328;Isny im Allgäu;47,69;10,04;ganz gut ist, ( danach) braucht man ja nicht heinzen am Morgen, ( danach);T;MV;
ZW--_E_00338;Leutkirch im Allgäu;47,83;10,02;weil es nicht viele Leute sind. Da braucht man eben jedes.;NULL;VV;
ZW--_E_00339;Leutkirch im Allgäu;47,83;10,02;jeder Ortschaft. Und da, das braucht eine Mordsarbeit schon. Da tut man vorher probereiten immer;T;VV;
ZW--_E_00354;Achstetten;48,26;9,9;und zum Teil- wie es gerade braucht. Und am Ausflug- Das hat man auch jedes;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_00361;Buch (Schwaben) ;48,32;10,02;wenig Abnutzung. Also auf die Geschwindigkeit braucht man da gar nicht achten beim Fahren, das kann;NULL;MV;
ZW--_E_00361;Buch (Schwaben) ;48,32;10,02;man überall anbringen, da. Da braucht man gar nicht so weit gehen. Wenn man eines;NULL;MV;
ZW--_E_00375;Böhen;47,88;10,3;Rüben, was man halt so mehr braucht, tut man ins Feld. Ja, und nachher;T;VV;
ZW--_E_00376;Lauben (Oberallgäu);47,78;10,3;durch Rohre überall hin, wo man sie braucht, nicht.;T;VV;
ZW--_E_00379;Lauben (Oberallgäu);47,78;10,3;der. Ja. ( Danach) braucht man keine, vorher haben wir auch noch müssen,;T;VV;
ZW--_E_00453;St. Blasien;47,76;8,13;Und wieviel Fischli braucht man denn für ein?;T;VV;
ZW--_E_00453;St. Blasien;47,76;8,13;Und was braucht man denn für Lockfische, was nimmt man denn?;T;VV;
ZW--_E_00454;St. Blasien;47,76;8,13;auch mal Nägel bestellt, also Nägel braucht man eben ;NULL;VV;
ZW--_E_00463;Wehr;47,63;7,9;ie tut man abschaffen, danach braucht man wieder die Eier von den Jungen.;NULL;VV;
ZW--_E_00463;Wehr;47,63;7,9;jetzt dort grad zweihundert Junge. Und braucht alles Platz, und dann im Frühling lassen wir wieder;T;VV;
ZW--_E_00463;Wehr;47,63;7,9;Da braucht ja, ja, da braucht man auch.;T;VV;
ZW--_E_00465;Wehr;47,63;7,9;wird das meistens abgestottert, der Wagner braucht ja schließlich sein Geld auch zum Leben, er muß;T;VV;
ZW--_E_00466;Wehr;47,63;7,9;die Zeit wo es braucht, die gefällt mir allmählich.;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_00466;Wehr;47,63;7,9;Mal schwer und schwierig, und man braucht einige Zeit, bis man soweit ist, daß man;T;VV;
ZW--_E_00502;Bad Rippoldsau-Schapbach;48,38;8,29;Bei hundertfünfunddreißig Hektar Wald braucht man doch eine ganz gehörige Zahl von Arbeitskräften, also;T;VV;
ZW--_E_00503;Bad Rippoldsau-Schapbach;48,38;8,29;was ja sonst der Wagner sehr selten braucht. Leim, das braucht man nicht, also das;T;VV;
ZW--_E_00503;Bad Rippoldsau-Schapbach;48,38;8,29;sagen sie natürlich Krummholz, das das braucht eben der Wagner, warum sagt man Krummholz, wenn;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;man hat ein neues Hufbeschläg, da braucht man nicht mehr soviel Hufeisen wie früher. Und das;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;Jetzt erzählen Sie mal, was braucht ein Holzhauer?;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;Ein Holzhauer, der braucht ein Beil, und braucht eine Axt, und braucht;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;der braucht ein Beil, und braucht eine Axt, und braucht eine Krempe und braucht eine;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;und braucht eine Axt, und braucht eine Krempe;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;und braucht eine Wendhacke und braucht Seilhacke;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;braucht eine Wendhacke und braucht Seilhacke, ja, und noch;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29; Im Einstecken braucht man da muß auch gucken wie wenn mal einen machen;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;schwierige Sache, ja, Loteisen, braucht man ganz grobe, schwere.;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;Großes Holz oder für die großen Stämme braucht man große Loteisen,;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;Loteisen, und für die kleinen Stämme braucht man kleine Loteisen;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;Ja, und Sichel braucht man schon gar nimmer.;T;VV;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;dengeln, nicht wahr, sonst kom braucht man keinen Schmied. Und was größere was Bauern sind;T;VV;
ZW--_E_00514;Nordrach;48,4;8,08;da kann er heiraten, da braucht er den Bauern nicht mehr. Jetzt ist der Knecht;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_00516;Nordrach;48,4;8,08;hat niemand gesagt, also, machen braucht man also machen habe ich nicht schnell brauchen, also;NULL;MV;
ZW--_E_00517;Nordrach;48,4;8,08;Wieviel Lehrer braucht Ihr denn?;T;VV;
ZW--_E_00523;Kehl;48,57;7,81;den Hahn auf, hoppla! Man braucht nirgends eine Pumpe, der Brunnen, der ist beizeiten;T;VV;
ZW--_E_00523;Kehl;48,57;7,81;der ist beizeiten abgeschraubt worden, den braucht man nimmer. Ja, jetzt aber noch eine Frage;T;VV;
ZW--_E_00523;Kehl;48,57;7,81;zwei Pumpen noch gebraucht, und da braucht eine die da bringt eine vierhundert Liter. Und im;T;VV;
ZW--_E_00555;Offenburg;48,47;7,94;a, hauptsächlich in deinem Alter braucht man auch, und wenn ich einmal so alt werde wie du;T;VV;
ZW--_E_00567;Maisch;48,88;8,33;der Gemeinde sehr angespannt, und es braucht natürlich alle Kunst und Geschicklichkeit des der betreffenden;NULL;VV;
ZW--_E_00567;Maisch;48,88;8,33;an etwas Neues gewöhnt hat, das braucht schon seine Zeit. Und wie der erste Gedanke der;NULL;VV;
ZW--_E_00574;Au am Rhein ;48,95;8,24;zahlt und zirka für fünfundzwanzighundert Mark Netze braucht, daß ich meine Fischerei kaputt mache, mein Wasser;NULL;VV;
ZW--_E_00574;Au am Rhein ;48,95;8,24;und das er's anwenden könnte wenn er's braucht oder wenn er Absatz hat für Fisch. Denn bei;T;VV;
ZW--_E_00575;Au am Rhein ;48,95;8,24;und das andere harte Zeug, das braucht ja hundert Jahre, bis das bis'mal etwas um ;T;VV;
