Aufnahmesigle;Ort;Y;X;Beleg;Auslaut;Verwendung;Kommentar
ZW--_E_00855;Füssen;47,57;10,7;abstechen, (äh) und dann braucht man die Wasenmesser.;T;VV;
ZW--_E_00855;Füssen;47,57;10,7;Darum braucht man eben das Messer, damit man kann links und;T;VV;
ZW--_E_00864;Kempten (Allgäu) ;47,73;10,32;er ist noch jünger aber es braucht schon rechten Kampf bi de mit dem Ding, es;T;VV;
ZW--_E_00868;Ottobeuren ;47,94;10,3;Zeiten den über sich ergehen lassen und braucht da gar nicht groß ängstlich sein ;T;MV;
ZW--_E_00879;Wiedergeltingen ;48,02;10,67;das ist kein Mord nicht, da braucht Ihr keine Angst nicht haben. Die das ist schon;NULL;MV;
ZW--_E_00880;Wiedergeltingen ;48,02;10,67;ja eine Kuh, die die braucht schon die braucht schon so drei.;T;VV;
ZW--_E_00883;Buchloe;48,04;10,72;wenig gesehen, in den schweren Böden braucht man überhaupt hat man heuer brauchen gar nichts tun,;T;MV;
ZW--_E_00897;Fürstenfeldbruck;48,18;11,25;a auch ein Geschäft, , der braucht mich auch, nicht wahrt, aber ich habe einen;T;VV;
ZW--_E_00903;Starnberg;48;11,34;nicht. Und andere Geräte- Ackergeräte braucht man andere alles. Und das kostet halt alles Geld;T;VV;
ZW--_E_00906;Münsing;47,9;11,37;sie zur Arbeit nicht mehr so oft braucht, weil da- mähen, das tut heute der;T;VV;
ZW--_E_00906;Münsing;47,9;11,37;Bulldog, gell, und die Rösser braucht man nicht mehr so.;T;VV;
ZW--_E_00906;Münsing;47,9;11,37;seltener. Im Sommer braucht man sie mehr- im Winter braucht man sie mehr;T;VV;
ZW--_E_00906;Münsing;47,9;11,37;braucht man sie mehr- im Winter braucht man sie mehr, im Winter müssen die Rosse die;T;VV;
ZW--_E_00906;Münsing;47,9;11,37;Glück hat, daß man nicht viel braucht - so, so fünfzehn, zwanzig Kubikmeter, sowas;T;VV;
ZW--_E_00914;Dießen am Ammersee ;47,95;11,1;doch halt eine Kraft, nicht, braucht man doch eine.;T;VV;
ZW--_E_00917;Dießen am Ammersee ;47,95;11,1;nicht fangen, gell. Und da braucht man natürlich ein extra Netz dazu und extra angerichtet dazu;T;VV;
ZW--_E_00927;Bichl;47,72;11,41;halt, nicht wahr, so am Berg, drei Meter, mehr braucht man sich nicht einkalkulieren, kann er's machen;T;MV;
ZW--_E_00934;Wallgau;47,52;11,28;oder zwei, was er halt so selber braucht. Mehr nicht.;T;VV;
ZW--_E_00946;Mittenwald;47,42;11,25;was man halt für einem selber braucht, aber sonst- Korn wird ja bei uns fast;T;VV;
ZW--_E_00947;Mittenwald;47,42;11,25;Bäume was man braucht im Haus, da ist ein jedes Haus berechtigt,;T;VV;
ZW--_E_00947;Mittenwald;47,42;11,25;halt, sagt man wo man was braucht oder wo so eine ist, dann kriegst' wieder einen;T;VV;
ZW--_E_00947;Mittenwald;47,42;11,25;Was man halt braucht, nicht.;T;VV;
ZW--_E_00953;Irschenberg;47,83;11,92;leicht zum Lernen und braucht man allerhand Leute dazu und wird auch bloß hauptsächlich mal ;T;VV;
ZW--_E_00956;Irschenberg;47,83;11,92; gell, und selber, wo halt selber braucht im Haus, gell.;T;VV;
ZW--_E_00958;Irschenberg;47,83;11,92;Mann angestellt mit Auto und äh dann braucht man bloß telefonieren oder dem Milchfahrer einen Zettel ;T;MV;
ZW--_E_00973;Bruckmühl;47,88;11,92;Den braucht Ihr für den Winter, gelt?;T;VV;
ZW--_E_00973;Bruckmühl;47,88;11,92;dann wo man die- Zäune so braucht. Mehr hat man dann.;T;VV;
ZW--_E_01016;Braunschweig;52,27;10,52; Man braucht nicht so hoch zu schmeißen, und vor allen Dingen das Abladen;NULL;MV;
ZW--_E_01032;Osterode am Harz;51,73;10,25;Wo kann ich mich hinlegen und braucht nicht aufzustehn. Und wo kann ich morgen das Essen;NULL;MV;
ZW--_E_01034;Northeim;51,71;10;ein alter Mann braucht in der [(UNDEUTLICH)] der sprach typisch hannoversch. War dreiundsiebzig Jahre alt.;T;VV;
ZW--_E_01084;Steinau an der Straße;50,32;9,47;ein Institut, das man im Dorf braucht, gelt. Da fehlt eigentlich männliches Interesse noch wenig;T;VV;
ZW--_E_01084;Steinau an der Straße;50,32;9,47;Sag' einmal das nicht! Vielleicht ist er krank und braucht Erholung!;NULL;VV;
ZW--_E_01126;Rothenbuch;49,97;9,4;man sechs Kinder groß zieht und da braucht man Pfennige und das Kostgeld und woher nehmen und nicht;T;VV;
ZW--_E_01127;Rothenbuch;49,97;9,4;geht und reinigt den Abort, der braucht heute keine Schulaufgabe zu machen. Da habe ich gedacht;NULL;MV;
ZW--_E_01133;Frammersbach;50,07;9,47;, weil man das heute nicht mehr braucht, nicht. Und da war aber noch eine.;T;VV;
ZW--_E_01134;Frammersbach;50,07;9,47;. Ja, sagt sie, da braucht jeder eine neue Kappe. Sakramich noch einmal- neue;T;VV;
ZW--_E_01134;Frammersbach;50,07;9,47;noch einmal- neue Kappen! Jeder braucht ein Paar neue Strümpfe. Na ja gut, kaufe;T;VV;
ZW--_E_01138;Mittelsinn;50,2;9,62;Wird gelüftet richtig. Und im Winter braucht es gar nicht so warm sein im Stall. Es;T;MV;
