Aufnahmesigle;Ort;Y;X;Beleg;Infinitivrektion;Kommentar
ZW--_E_01748;Dillingen/ Saar;49,35;6,73;sowieso hatten wir die gekriegt. Da brauchte man sich nicht lange zu überlegen, ob man etwas;ZU;sehr undeutlich!
ZW--_E_01855;Oberbettingen;50,29;6,63;alles war eingezogen, und zu tanzen brauchte man da auch nicht viel, .;ZU;
ZW--_E_01885;Krautscheid;50,06;6,33;Und äh, den Chorleiter, den brauche ich nicht zu machen. Wir haben hier den Dirigenten;ZU;
ZW--_E_01885;Krautscheid;50,06;6,33;leitet den Chor auch- und dann brauche ich mich nicht daran zu stören. Es ist ja;ZU;
ZW--_E_01991;Rattelsdorf;50,02;10,89;braucht zu keinem Bauern mehr gehen und braucht überhaupt keinen Handel und keinen Handel mehr treiben. Na;NULL;
ZW--_E_02002;Geroda;50,28;9,9;haben sie gesagt: Mama, es braucht sonst gar nichts zu sein nur ein Anorak. Na;ZU;
ZW--_E_02044;Wiesau;49,92;12,17;und ist eine Brut drinnen und da braucht man sich nicht denken, daß man da im Herbst;NULL;
ZW--_E_02057;Tirschenreuth;49,88;12,33;also das kann ich schlecht. Das brauche ich nicht zu machen vom Betriebsleiter aus schon nicht.;NULL;"In Transkription steht ""zu"", aber wird nicht ausgesprochen "
ZW--_E_02075;Schönsee;49,52;12,55;Ja, braucht man nicht zu zahlen, die Muster sind blaugedruckte Muster;NULL;"In Transkription steht ""zu"", aber wird nicht ausgesprochen "
ZW--_E_02081;Schwarzhofen;49,38;12,35;ich habe es kapiert, nicht, brauchen Sie nimmer auf Regensburg fahren zum Abrechnen, können Sie;NULL;
ZW--_E_02218;Salzhemmendorf;52,07;9,58;Kutscher vom Bock da, zu reiten brauchte ich nicht, war Kutscher vom Bock, Fahrer vo;NULL;"In Transkription steht ""zu"", aber wird nicht ausgesprochen, aber sehr undeutlich gesprochen "
ZW--_E_02223;Gronau (Leine);52,08;9,78;sagte er, du Louis, ich brauche bloß sechs zu geben, höher darfst Du auch nich;ZU;
ZW--_E_02248;Rotenburg (Wümme);53,11;9,4;Ahausen nach der Kirche, wir brauchten ja bloß einen Tusch zu spielen, wenn das Brautpaar;ZU;
ZW--_E_02250;Rotenburg (Wümme);53,11;9,4;die Zinsen bezahlen konnte. Denn er brauchte auch ja keine äh keine Angst zu haben, das;ZU;undeutlich 
ZW--_E_02252;Rotenburg (Wümme);53,11;9,4;""" B-brauchst das Aas erst gar nicht ein- einzudrehen, e";NULL;"In Transkription steht ""zu"", aber wird nicht ausgesprochen (bzw. sehr undeutlich) "
ZW--_E_02338;Meinersen;52,47;10,37;Das ist genau im Keller! Wir brauchen kein Wasser auszupumpen, das das zieht allein wieder weg;ZU;"""z"" wird als ""t"" ausgesprochen "
ZW--_E_02344;Rötgesbüttel;52,42;10,53;was laufen Sie denn so? Sie brauchen doch nicht zu laufen! Das ist doch ein ganz;ZU;sehr undeutlich!
ZW--_E_02346;Rötgesbüttel;52,42;10,53;"der Schule, hatte wir beide uns brauchte meine Mutter nicht mitzukommen; da hatte mich mein Bruder";ZU;"""z"" wird als ""t"" ausgesprochen "
ZW--_E_02492;Neustadt (Wied);50,62;7,43;wieder heim und hole meine, da brauche ich nicht mehr zu erzählen. Nun macht's gut bis;ZU;
ZW--_E_02493;Neustadt (Wied);50,62;7,43;Geburtstagstisch gemacht, und an dem Tag brauchten wir keine Schweine zu hüten, ja. Und äh;ZU;
ZW--_E_02565;Zilshausen;50,11;7,38;Mädchen, die können ja, die brauchen daheim nichts zu schaffen, das macht die Mutter da;ZU;
ZW--_E_02573;Badenhard;50,12;7,63;Da haben die gesagt, ach die brauchst du doch erst gar nicht fragen und die hat dir;NULL;
ZW--_E_02599;Alfter;50,74;7,01;und das Beste liegt nah. Sie brauchen gar nicht weit zu gehen. Wenn man doch sonntags;ZU;
ZW--_E_02687;Nettetal;51,32;6,28;, soll der Teufel hereinkommen- der brauchte bloß zur Türe hereinzusehen- dann war es für uns;ZU;sehr undeutlich!
ZW--_E_02717;Bechtheim;49,73;8,29;Weil das heute maschinell geht, braucht man nicht mehr so schwer zu.;ZU;
ZW--_E_02727;Darmstadt;49,87;8,65;siehst du. Was du ißt, brauche ich nicht zu verkaufen. Ja, ach im Bäckerhandwerk;ZU;
ZW--_E_02782;Hörstel;52,3;7,59;"Nachbarn hatten Glück, sie brauchten sie brauchten nicht unterwegs soviel beten; ich war nach Riesenbeck nach";NULL;
ZW--_E_02816;Heek;52,12;7,1;schwer. Ja, heutzutage, da braucht man am Feuer bald gar nicht mehr arbeiten. Wenn;NULL;
ZW--_E_02847;Raesfeld;51,77;6,83;"mal was zu gute!"" "" Du brauchst dir nicht so viele Butterbrote mitnehmen. Du mußt ja";NULL;
ZW--_E_02873;Kierspe;51,13;7,57;und der hat nichts gegeben, dann brauchen wir auch nichts geben. So daß so eine Hochzeit;NULL;undeutlich 
ZW--_E_02874;Kierspe;51,13;7,57;Die Frau meinte, das faule Kerlszeug braucht im Winter nicht so viel zu essen als im Sommer;ZU;
ZW--_E_02914;Haltern am See;51,75;7,18;fruchtbar angewandt werden können. Denn wir brauchen uns unserer westfälischen, echten Heimatsprache bestimmt nicht zu schämen ;ZU;"Audiodatei hört vor ""zu schämen"" bereits auf "
ZW--_E_02914;Haltern am See;51,75;7,18;Deswegen braucht man sich dich- nicht zu wundern, wenn man;ZU;
ZW--_E_02945;Rahden;52,42;8,62;Denn brauchte man das Leinen nachher nicht so lange bleichen, dass;NULL;
ZW--_E_02961;Münster (Westfalen) ;51,96;7,63;alle schon mit dem Trecker. Da braucht man das Heu gar nicht erst mehr aufzuladen. Es;ZU;
ZW--_E_02961;Münster (Westfalen) ;51,96;7,63;die Arme durch naß gewesen. Das braucht man heutzutage keinem Menschen mehr zumuten, das zu tun;NULL;
ZW--_E_03007;Olpe;51,03;7,85;unsere Mutter ein bißchen auftrug, dann brauchte sie nichts zu sagen, dann sahen sie sich an;ZU;
ZW--_E_03032;Eslohe;51,25;8,17;", da sagte der, "" da braucht ihr euch doch nicht nach dem einen richten. Der";ZU;"""z"" wird als ""t"" ausgesprochen "
ZW--_E_03036;Eslohe;51,25;8,17;Stolz auf ihre Heimatart hätten, dann brauchte wirklich die Heimatsprache auch nicht eingehen. Mir fällt gerade;NULL;
ZW--_E_03060;Bad Sassendorf;51,58;8,17;Auf dem Feld, da brauchte ich weiter nichts ma, machen wie bloß weiterfahren und;NULL;
ZW--_E_03109;Warmsen;52,45;8,85;kommen die Kartoffeln nur rein und man braucht nicht erst mehr anzuschalten oder auszuschalten. Der Kram ist;ZU;
ZW--_E_03143;Borgholzhausen ;52,1;8,3;ich holte diese Zeit zurück. Da brauchte man sich auf den Straßen noch nicht in acht nehmen;NULL;
ZW--_E_03154;Harsewinkel;51,97;8,23;uns aber ganz mollig drin. Einer braucht nicht meinen, daß wir ganz groß in Flöhe zu;NULL;
ZW--_E_03158;Harsewinkel;51,97;8,23;, das war eine Schwester. Die brauchte natürlich nicht soviel helfen. So mit zehn Jahren,;NULL;
ZW--_E_03167;Grebenstein;51,45;9,42;also, das liegt nebeneinander. Da brauchen wir denn nur in einem abzumähen. Das haben wir;ZU;
ZW--_E_03183;Waldeck;51,2;9,07;, und dann, na, man brauchte ja nicht so viel zu streuen wie jetzt, und;ZU;
ZW--_E_03188;Waldeck;51,2;9,07;es hatte wirklich gut gegangen. Wir brauchten nur einmal stille zu halten, das war da hatte;ZU;
ZW--_E_03205;Frankenberg (Eder) ;51,06;8,8;die Mähmaschine bei dem Grasmähen. Da brauchen die Leute nicht mehr mit den Sensen zu mähen.;ZU;
ZW--_E_03205;Frankenberg (Eder) ;51,06;8,8;Leute dann nicht mehr aufzuheben. Die brauchen sie nur hoch hinzustellen. Und dann kommt bei dem;ZU;
ZW--_E_03212;Wetter;50,88;8,72;der Mann keine Gedanken drum zu machen braucht. Ja, dadrin habens's ja nun die Männer.;ZU;
ZW--_E_03233;Antrifttal;50,77;9,18;Fremdstein im ganzen Sockel ist und ich brauche nicht zu verputzen. Dann nachher kam die Kellerdecke drauf;ZU;
ZW--_E_03246;Hirzenhain;50,39;9,14;das gibt's heute bei uns. Deswegen brauchen wir kein Fuder mehr heimzuholen mit dem Wagen, kaum;ZU;
ZW--_E_03251;Büdigen;50,29;9,11;Da wird der Binder eingesetzt, da braucht man bloß drumrum zu mähen. Na, und wenn;ZU;
ZW--_E_03291;Haunetal;50,77;9,67;hatten wir alles doch rein. Grummet brauchten wir nicht viel zu machen, denn es war so;ZU;
ZW--_E_03295;Haunetal;50,77;9,67;"bißchen auf die Weide tun, dann brauchen wir nicht zu füttern."" Dann setzt die sich an";ZU;
ZW--_E_03324;Braunlage;51,73;10,61;"in dieser Weise bedeutend besser; heute brauchen sie nicht mehr zu rücken. Sie brauchen höchstens mal";ZU;
ZW--_E_03340;Neu Wulmstorf;53,47;9,8;und Beste auch, nicht! Man braucht sich keine Gedanken zu machen, wenn das dann mal;ZU;
ZW--_E_03371;Beverstedt;53,43;8,82;für meinen Mann, und der äh braucht das noch nicht vorher zu wissen. Und als ich;ZU;
ZW--_E_03416;Neuenkirchen (Lüneburger Heide) ;53,03;9,71;, nicht, nicht. Aber ich brauchte mich bloß zu melden, dann waren wieder sie da;ZU ;undeutlich 
ZW--_E_03451;Südheide;52,83;10,15;bißchen so viel rascher, nicht! Brauchten nicht mehr abzunehmen und zu binden, und ich hatte;ZU;
ZW--_E_03455;Südheide;52,83;10,15;ja auch mit dem Schweineschlachten. Hier brauchendie Frauen nichts zu machen. Da nehmen sie alles;ZU;
ZW--_E_03527;Feilitzsch;50,37;11,92;das, was ich vordem nicht tun brauchte. Um aber die Heimat zu erhalten, habe ich;NULL;
ZW--_E_03575;Kühlenfels;49,74;11,42;Mehr arbeiten. Jetzt brauchen sie ja nicht mehr laufen. Wenn sie ackern,;NULL;
ZW--_E_03575;Kühlenfels;49,74;11,42;mehr laufen. Wenn sie ackern, brauchen sie wieder nicht laufen, da können sie ja aufsitzen;NULL;
ZW--_E_03589;Mainieus;50,1;11,38;erstens für die kleinen Bauern, die brauchen ihre Kühe nicht einspannen, nicht. Wenn der Bulldock;NULL;
ZW--_E_03592;Lichtenfels (Oberfranken) ;50,13;11,03;"war, haben sie gesagt: jetzt braucht ihr"" fei"" nicht mehr aufpassen, jetzt müssen";NULL;
ZW--_E_03594;Lichtenfels (Oberfranken) ;50,13;11,03;haben wir es ja leichter. Da brauchen wir uns nicht so zu plagen. Da ist es;ZU;
ZW--_E_03599;Heiligenstadt in Oberfranken ;49,87;11,17;haben wir da nicht viel. Da brauchen wir nicht auf, auf Bischofsgrün gehen und hinunter auf;NULL;
ZW--_E_03600;Heiligenstadt in Oberfranken ;49,87;11,17;können. Aber das Beste, man braucht sie nicht runtertragen. Wenn man die alle runtertragen muß;NULL;
ZW--_E_03629;Paderborn;51,72;8,77;einem Schlappen und einem Schuh, dann braucht sie nicht mehr prahhhlen! Ja, das war das;NULL;Audiodatei stimmt nicht mit Textbeispiel überein 
ZW--_E_03713;Wettringen;52,21;7,32;, bleibe man zu Hause. Heute brauchst du nicht in die Schule gehen. Sagst einfach dem;NULL;
ZW--_E_03720;Moers;51,46;6,62;"gefallen."" Ich sagte: "" Der braucht dir auch gar nicht gefallen; der gefällt mir aber";NULL;
ZW--_E_03772;Kerken;51,46;6,37;nicht zu sehr an zu Hause denken brauche. Mein Mann ist vierundvierzig eingezogen,;NULL;
ZW--_E_03849;Hulde;53,11;8,46;einen Wagen leer machen, und wir brauchen ja nicht mit dem Zwischenwagen zu fahren. Und wenn;ZU;
ZW--_E_03874;Butjadingen;53,55;8,33;Dann braucht man bloß noch aufzuhocken und dann nachher noch auf dem;ZU;
ZW--_E_03926;Scholen;52,73;8,77;die ich nun eben habe, die brauche ich gar nicht beschlagen. Die haben so sandfeste Hufe;NULL;
ZW--_E_04074;Langenaltheim;48,9;10,93;"es nachher wiedergebracht und hat gesagt: Brauchst nicht hingehen; ich bringe dir es, ich hole";NULL;
ZW--_E_04095;Höchstadt an der Aisch;49,71;10,81;, wenn die Heuernte ist, dann braucht man halt Mittag nicht füttern, kann man gleich raus;NULL;
ZW--_E_04108;Sollwitt;54,59;9,23;stabil, daß wir uns nicht bangen brauchen um unser.;NULL;
ZW--_E_04153;Schülp;54,26;9,63;Wenn ich sie kaufen könnte, dann brauchen wir ja nicht an die Molkerei was liefern, das;NULL;
ZW--_E_04159;Haßmoor;54,29;9,82;Das haben wir dann ja selbst, brauchen wir uns ja nicht zu kaufen, . -;ZU;undeutlich 
ZW--_E_04161;Postfeld;54,22;10,22;ich meine, man hat eingeschachtet, braucht man deswegen nicht loslaufen und einholen und so alltags;NULL;
ZW--_E_04197;Riepsdorf;54,22;10,97;vorne angebaut an den Trecker, da braucht man nicht mehr anmähen und bei einer Partie muß man;NULL;
ZW--_E_04216;Dillenburg;50,73;8,28;" da bist du immer daheim und brauchst dann nicht mehr morgens den Weg zu machen!"" Nun";ZU;
ZW--_E_04224;Greifenstein;50,61;8,24;alleweil so drüber. Also, wir brauchen uns nicht zu beschweren, wir brauchen keinen Hunger leiden;ZU;
ZW--_E_04235;Aarbergen;50,25;8,07;man sich schon nicht zu besinnen, braucht sich auch keine Gedanken zu machen, wo die Arbeit;ZU;
ZW--_E_04249;Wiesbaden;50,08;8,24;und schmeißt sie gesäubert ab. Dann braucht man sie nachher nur noch abzuladen, auf dem Waggon;ZU;
ZW--_E_04264;Nidda;50,41;9,01;einzelne Kasten auf dem Band. Da brauchst Du keinen mehr zu heben. Und was wir früher;ZU;
ZW--_E_04270;Butzbach;50,44;8,66;dem Apfelwein. Sage ich, da braucht man ja gar nichts mehr zu machen. Alleweil darf;ZU;
ZW--_E_04306;Altenvers;50,71;8,62;"wenn man auf die Straße ging. Brauchte für kein Kind zu sagen: "" Paß auf,";ZU;
ZW--_E_04307;Gladenbach;50,77;8,58;Manchmal ist auch nicht viel, da braucht man nicht so viel zu hacken. Aber manchmal ist;ZU;
ZW--_E_04307;Gladenbach;50,77;8,58; Dann wird's bloß aufgestellt. Weiter braucht man da nichts zu machen. Da geht das alles;ZU;
ZW--_E_04425;Stapelfeld;53,6;10,22;nahmen wir das Geld davon, dann brauchten wir es nicht aus der eigenen Tasche bezahlen, ;NULL;
ZW--_E_04463;Hemdingen;53,76;9,84;alles so nebenbei. Natürlich, mitarbeiten brauchte ich da dann äh nicht so. Nicht? Insofern;NULL;
ZW--_E_04477;Rösrath;50,9;7,18;hole dir Unterstützung, nicht, dann brauchst du nichts zu tun. Das gab es früher nicht;ZU;Audiodatei stimmt nicht mit Textbeispiel überein 
ZW--_E_04507;Netphen;50,91;8,1;Das ist eine wunderbare Sache. Man braucht sich doch nicht mehr so zu plagen wie früher die;ZU;
ZW--_E_04535;Bendorf;54,08;9,38;der anderen, brauchen wir, wir brauchen nicht 'ne halbe Stunde durch die Gegend zu fahren,;ZU;
ZW--_E_04535;Bendorf;54,08;9,38;sich da gleich dran gewöhnen, die braucht man, kann man wohl sagen, nicht nachmelken,;NULL;
ZW--_E_04537;Bendorf;54,08;9,38;mit, damit nicht so viele fahren brauchten. Da hat er die Pferde ausgespannt und die Pferde;ZU;"""damit nicht so viele fahren zu brauchen"" (es ist die Audiodatei vom Folgebeispiel; da ist wahrscheinlich etwas durcheinander gekommen) "
ZW--_E_04537;Bendorf;54,08;9,38;sagte er immer, Kinder, ihr braucht nicht das Litauische lernen, nachher kam es ganz stre;NULL;Audiodatei stimmt nicht mit Textbeispiel überein 
ZW--_E_04554;Drochtersen;53,7;9,38; Kochen mußten wir und zu brennen brauchten wir was, und so war die Sache da.;ZU;
ZW--_E_04580;Geestland;53,63;8,75;Dann brauchten Sie mit Ihrem Fisch nicht auf dem Markt zu sitzen;ZU;
ZW--_E_04601;Bischheim;49,67;8,03;ganz weit fast vor, und da brauchte man bloß beobachten, wo unsere Flora hinsah, dann;NULL;
ZW--_E_04715;Halle (bei Neuenhaus) ;52,45;6,92;man nichts Besonderes zu tun, man braucht bloß, äh das Vieh gut zu versorgen, das;NULL;
ZW--_E_04725;Haren (Ems);52,77;7,22;dann spät wurde gegen Mittag, dann brauchten wir gar nicht auf die Uhr zu sehen, dan;ZU;
ZW--_E_04743;Haren (Ems);52,77;7,22;das wußten die Pferde genau, da brauchte der gar nicht hoo und brr sagen, die Pferde;NULL;
ZW--_E_04745;Lengerich (Emsland);52,55;7,53;"wir wollen das so haben; tun brauchten sie selbst nichts daran. Das taten die Nachbarn alle";NULL;
ZW--_E_04772;Esterwegen;52,99;7,63;Das haben die sich umbringen, dann brauchen sie kein Geld zu geben. Schreiben sie: Wir;ZU;
ZW--_E_04835;Diepholz;52,61;8,37;Und am anderen Morgen, da brauchten wir nur schnell umdrehen, und dann konnten wir weiterfahren;NULL;
ZW--_E_04919;Lauingen (Donau);48,57;10,43;Zuckerrüben- Also, mit Handarbeit braucht man praktisch gar nichts mehr tun. Man braucht sie;NULL;
ZW--_E_05111;Heppenheim;49,64;8,64;nicht die wenn die einen Rundgang machen brauchen sie keine Trauben zu versuchen den nächsten Morgen ;ZU;
ZW--_E_05122;Hörstel;52,3;7,59;machten, daß die lernten! Da brauchte ich bloß in diesen Heften eine kleine Bemerkung machen,;NULL;
ZW--_E_05130;Saterland;53,03;7,72;weh und ist so krank, dann braucht ihn seine Frau gar nicht mal zu holen. Und;ZU;
ZW--_E_05188;Neuharlingersiel;53,7;7,7;so nach der See zu. Da braucht ja bloß schlechtes Wetter sein, bißchen stürmisch ist,;NULL;
ZW--_E_05230;Stockelsdorf;53,88;10,65; also das, äh, da brauchten wir uns wiederum, äh, keine Sorgen zu machen;ZU;
ZW--_E_05231;Ratekau;53,95;10,73;sie den weiten Weg nicht zu machen brauchten. Und dann ging es um eins los, und;ZU;Audiodatei stimmt nicht ganz mit Textbeispiel überein 
ZW--_E_05454;Dornstadt;49;10,58;und liefert nachher auch nicht mehr.Braucht es nur ein bisschen trocken sein, ein kleines wenig;NULL;
ZW--_E_05456;Bechhofen (Mittelfranken);49,16;10,56;ausgegraben und ausgemauert, nicht. Heute braucht man ja nicht mehr mauern, da schiebt man die;NULL;
ZW--_E_05485;Gundelsheim;49,28;9,16;" "" so ein Blödsinn. Was brauchen die Kerle zu wissen? Die sollen schaffen. """;ZU;
ZW--_E_05502;Ilshofen;49,17;9,92;also, das Nachbarort, Braunsbach, braucht nicht mitmachen mit der Fe- , mit dem Fernwasser;NULL;
ZW--_E_05502;Ilshofen;49,17;9,92;Mark im Monat, ja, und braucht nicht so sparen als wie, wenn man es nachher;NULL;
ZW--_E_05525;Oberderdingen;49,07;8,8;fast gar drei Zeilen nehmen. Da braucht man nicht so oft herauf- und hinunterlaufen, nicht;NULL;
ZW--_E_05654;Enger;52,13;8,57;machten aber alles die Nachbarn, da brauchte sich kein anderer drum bekümmern. Die F;NULL;
ZW--_E_05656;Enger;52,13;8,57;Wasserleitung in der Schule. Aber dann brauchten wir draußen nicht frieren und konnten dort im Keller sein;NULL;
ZW--_E_05662;Enger;52,13;8,57;Korn zum Säen zu haben, da brauchte man nicht das schwerste Korn haben und auch nicht das;NULL;
ZW--_E_05663;Enger;52,13;8,57;such bei deiner Schwester mit auf, brauchst es auch nicht umsonst machen! Und ich, ganz;NULL;
ZW--_E_05669;Enger;52,13;8,57;nicht mehr nötig, das läuft, braucht man keine Schützen wechseln, das läuft alles automatisch.;NULL;
ZW--_E_05676;Enger;52,13;8,57;dann lass es man stehen. Du brauchst es nicht essen! Ja, dann kriegten wir es;NULL;
ZW--_E_05676;Enger;52,13;8,57;Das Essen ist ganz schön, ich brauche nicht hungern! Und heute Mittag haben wir etwas gehabt;NULL;
ZW--_E_05698;Spenge;52,13;8,48;Umgebung konnten sich wunderbar helfen. Sie brauchten nicht lange schreiben und laufen, wie das heute ist;NULL;
ZW--_E_05698;Spenge;52,13;8,48;Sie überlegten sich das, dann brauchte sich dieser gute Mann nur einen Bürgen mitbringen und dann;NULL;
ZW--_E_05701;Spenge;52,13;8,48;was er machen musste. Ich brauchte ihm bloß die Zügel hinzugeben und dann sprang der auch;ZU;Audiodatei stimmt nicht mit Textbeispiel überein 
